transaction_id,customer_id,merchant_id,amount,currency,payment_method,transaction_hour,transaction_day,failure_reason,failure_category,previous_transaction_count,previous_success_count,previous_failure_count,customer_success_rate,days_since_last_success,retry_count,recovery_attempted,recovery_action,retry_delay_minutes,recovery_success,recovered_amount,recovery_time_minutes,recovery_probability,revenue_at_risk
TXN100021,CUST2332,MERCH111,2063.2,INR,Credit Card,10,Tuesday,Gateway Timeout,Temporary,49,41,8,0.837,77,0,True,Retry After Delay,30,1,2029.77,36,0.8,1650.56
TXN100022,CUST1769,MERCH101,3132.96,INR,Net Banking,8,Tuesday,Bank Server Unavailable,Temporary,30,16,14,0.533,4,0,True,Retry,0,1,3087.68,15,0.55,1723.13
TXN100023,CUST1343,MERCH110,1034.0,INR,Credit Card,23,Monday,Payment Declined,Customer Related,32,17,15,0.531,19,0,False,Stop Recovery,0,0,0.0,0,0.25,258.5
TXN100024,CUST2515,MERCH143,1354.83,INR,Wallet,4,Wednesday,Payment Declined,Customer Related,35,33,2,0.943,45,0,True,Send Payment Reminder,30,0,0.0,0,0.55,745.16
TXN100025,CUST2437,MERCH127,2775.97,INR,Credit Card,10,Sunday,Incorrect Payment Details,Customer Related,47,38,9,0.809,33,1,True,Send Payment Reminder,120,0,0.0,0,0.48,1332.47
TXN100026,CUST1805,MERCH117,4867.73,INR,UPI,8,Wednesday,Processing Error,Technical,14,9,5,0.643,17,1,True,Escalate,0,1,4830.14,11,0.38,1849.74
TXN100027,CUST1385,MERCH112,2400.4,INR,UPI,16,Saturday,Bank Server Unavailable,Temporary,39,24,15,0.615,57,2,True,Retry,0,0,0.0,0,0.56,1344.22
TXN100028,CUST2215,MERCH136,1253.21,INR,Debit Card,21,Friday,Incorrect Payment Details,Customer Related,42,40,2,0.952,17,0,True,Send Payment Reminder,120,0,0.0,0,0.55,689.27
TXN100029,CUST1955,MERCH121,4031.4,INR,UPI,10,Saturday,Insufficient Balance,Customer Related,25,25,0,1.0,4,1,True,Send Payment Reminder,120,0,0.0,0,0.48,1935.07
TXN100030,CUST1276,MERCH111,231.93,INR,Credit Card,20,Sunday,Payment Declined,Customer Related,29,16,13,0.552,8,1,False,Stop Recovery,0,0,0.0,0,0.18,41.75
TXN100031,CUST2184,MERCH101,429.32,INR,UPI,5,Thursday,Authentication Failure,Technical,40,20,20,0.5,37,1,False,Stop Recovery,0,0,0.0,0,0.23,98.74
TXN100032,CUST1459,MERCH136,2310.7,INR,UPI,15,Saturday,Bank Server Unavailable,Temporary,32,27,5,0.844,2,0,True,Retry After Delay,15,0,0.0,0,0.85,1964.09
TXN100033,CUST2337,MERCH106,1354.63,INR,Debit Card,18,Sunday,Payment Declined,Customer Related,11,11,0,1.0,89,1,True,Send Payment Reminder,30,0,0.0,0,0.43,582.49
TXN100034,CUST1021,MERCH125,2174.19,INR,Credit Card,13,Thursday,Insufficient Balance,Customer Related,28,27,1,0.964,26,0,True,Send Payment Reminder,120,1,2126.0,121,0.55,1195.8
TXN100035,CUST1252,MERCH125,1410.26,INR,UPI,2,Sunday,Authentication Failure,Technical,5,5,0,1.0,41,0,True,Escalate,0,0,0.0,0,0.6,846.16
TXN100036,CUST1747,MERCH123,2114.89,INR,UPI,9,Wednesday,Payment Declined,Customer Related,35,25,10,0.714,13,0,True,Send Payment Reminder,60,0,0.0,0,0.4,845.96
TXN100037,CUST1856,MERCH111,698.18,INR,UPI,20,Monday,Incorrect Payment Details,Customer Related,25,23,2,0.92,83,0,True,Send Payment Reminder,30,1,673.18,32,0.5,349.09
TXN100038,CUST2584,MERCH115,2114.11,INR,UPI,22,Tuesday,Gateway Timeout,Temporary,41,39,2,0.951,24,1,True,Retry After Delay,30,0,0.0,0,0.78,1649.01
TXN100039,CUST1474,MERCH122,2967.67,INR,Credit Card,3,Wednesday,Incorrect Payment Details,Customer Related,7,7,0,1.0,73,1,True,Send Payment Reminder,30,1,2946.46,37,0.43,1276.1
TXN100040,CUST2082,MERCH139,3556.17,INR,Credit Card,21,Wednesday,Payment Declined,Customer Related,33,16,17,0.485,62,1,False,Stop Recovery,0,0,0.0,0,0.13,462.3
TXN100041,CUST1510,MERCH108,6706.57,INR,UPI,20,Monday,Insufficient Balance,Customer Related,42,23,19,0.548,65,0,False,Stop Recovery,0,0,0.0,0,0.2,1341.31
TXN100042,CUST2705,MERCH131,1628.28,INR,UPI,1,Monday,Insufficient Balance,Customer Related,27,27,0,1.0,31,1,True,Send Payment Reminder,60,0,0.0,0,0.48,781.57
TXN100043,CUST2499,MERCH114,1667.58,INR,UPI,12,Thursday,Gateway Timeout,Temporary,44,37,7,0.841,18,0,True,Retry After Delay,10,1,1620.34,20,0.85,1417.44
TXN100044,CUST1699,MERCH136,396.02,INR,UPI,10,Sunday,Network Timeout,Temporary,47,47,0,1.0,15,0,True,Retry After Delay,30,1,384.82,35,0.85,336.62
TXN100045,CUST1975,MERCH112,875.57,INR,Credit Card,11,Wednesday,Bank Server Unavailable,Temporary,21,10,11,0.476,24,1,True,Retry,0,1,853.35,14,0.48,420.27
TXN100046,CUST2806,MERCH104,1147.72,INR,UPI,0,Sunday,Network Timeout,Temporary,27,13,14,0.481,65,1,True,Retry,0,1,1138.28,5,0.43,493.52
TXN100047,CUST1189,MERCH110,3103.41,INR,UPI,21,Wednesday,Authentication Failure,Technical,25,16,9,0.64,15,1,True,Escalate,0,0,0.0,0,0.38,1179.3
TXN100048,CUST1957,MERCH109,821.56,INR,Debit Card,20,Friday,Processing Error,Technical,22,15,7,0.682,87,0,True,Escalate,0,0,0.0,0,0.4,328.62
TXN100049,CUST1686,MERCH112,2532.78,INR,UPI,8,Tuesday,Authentication Failure,Technical,11,9,2,0.818,51,2,True,Escalate,0,0,0.0,0,0.46,1165.08
TXN100050,CUST1957,MERCH140,1337.69,INR,Credit Card,11,Friday,Authentication Failure,Technical,6,6,0,1.0,20,2,True,Escalate,0,1,1335.74,7,0.46,615.34
TXN100051,CUST1562,MERCH145,1162.43,INR,Credit Card,6,Friday,Bank Server Unavailable,Temporary,3,1,2,0.333,52,0,True,Retry,0,0,0.0,0,0.55,639.34
TXN100052,CUST2899,MERCH149,1634.54,INR,UPI,16,Tuesday,Insufficient Balance,Customer Related,30,29,1,0.967,77,3,False,Stop Recovery,0,0,0.0,0,0.29,474.02
TXN100053,CUST2590,MERCH114,979.53,INR,Debit Card,9,Wednesday,Processing Error,Technical,28,21,7,0.75,5,0,True,Escalate,0,0,0.0,0,0.45,440.79
TXN100054,CUST2267,MERCH141,950.29,INR,Credit Card,5,Thursday,Incorrect Payment Details,Customer Related,41,37,4,0.902,54,0,True,Send Payment Reminder,120,1,910.91,131,0.55,522.66
TXN100055,CUST1831,MERCH106,342.47,INR,Credit Card,6,Sunday,Network Timeout,Temporary,17,8,9,0.471,37,2,True,Retry,0,0,0.0,0,0.41,140.41
TXN100056,CUST2528,MERCH139,1098.43,INR,Debit Card,18,Tuesday,Insufficient Balance,Customer Related,23,21,2,0.913,62,0,True,Send Payment Reminder,60,1,1050.22,65,0.5,549.22
TXN100057,CUST2154,MERCH127,912.35,INR,Net Banking,13,Monday,Network Timeout,Temporary,34,26,8,0.765,11,0,True,Retry After Delay,15,0,0.0,0,0.7,638.64
TXN100058,CUST2508,MERCH131,886.44,INR,Wallet,10,Wednesday,Gateway Timeout,Temporary,21,11,10,0.524,42,0,True,Retry,0,0,0.0,0,0.55,487.54
TXN100059,CUST2842,MERCH134,1869.63,INR,Credit Card,1,Tuesday,Insufficient Balance,Customer Related,5,2,3,0.4,6,0,False,Stop Recovery,0,0,0.0,0,0.25,467.41
TXN100060,CUST1646,MERCH114,2268.57,INR,Net Banking,0,Tuesday,Processing Error,Technical,50,34,16,0.68,89,0,True,Escalate,0,1,2187.79,10,0.4,907.43
TXN100061,CUST1020,MERCH147,1612.85,INR,UPI,9,Saturday,Payment Declined,Customer Related,44,43,1,0.977,45,1,True,Send Payment Reminder,120,0,0.0,0,0.48,774.17
TXN100062,CUST1840,MERCH135,2970.04,INR,Credit Card,11,Sunday,Insufficient Balance,Customer Related,15,9,6,0.6,57,0,True,Send Payment Reminder,120,1,2955.82,130,0.4,1188.02
TXN100063,CUST1166,MERCH120,2122.71,INR,UPI,8,Tuesday,Insufficient Balance,Customer Related,46,35,11,0.761,39,0,True,Send Payment Reminder,30,0,0.0,0,0.4,849.08
TXN100064,CUST2297,MERCH105,1057.81,INR,UPI,22,Thursday,Authentication Failure,Technical,2,1,1,0.5,37,0,True,Escalate,0,0,0.0,0,0.3,317.34
TXN100065,CUST1387,MERCH100,924.93,INR,Credit Card,10,Friday,Gateway Timeout,Temporary,24,20,4,0.833,40,1,True,Retry After Delay,15,1,903.11,26,0.78,721.45
TXN100066,CUST1600,MERCH103,1720.31,INR,Debit Card,0,Friday,Payment Declined,Customer Related,10,9,1,0.9,58,1,True,Send Payment Reminder,120,0,0.0,0,0.48,825.75
TXN100067,CUST1315,MERCH110,2119.67,INR,UPI,19,Saturday,Gateway Timeout,Temporary,20,16,4,0.8,7,2,True,Retry After Delay,5,1,2014.29,16,0.71,1504.97
TXN100068,CUST1013,MERCH143,4098.09,INR,Debit Card,9,Tuesday,Insufficient Balance,Customer Related,35,18,17,0.514,82,0,False,Stop Recovery,0,0,0.0,0,0.2,819.62
TXN100069,CUST1241,MERCH125,3473.57,INR,Credit Card,18,Tuesday,Network Timeout,Temporary,41,38,3,0.927,40,0,True,Retry After Delay,15,1,3400.96,19,0.85,2952.53
TXN100070,CUST1776,MERCH136,868.55,INR,UPI,22,Friday,Authentication Failure,Technical,47,43,4,0.915,35,1,True,Escalate,0,0,0.0,0,0.53,460.33
TXN100071,CUST2369,MERCH122,1234.47,INR,UPI,20,Thursday,Network Timeout,Temporary,21,17,4,0.81,74,0,True,Retry After Delay,5,1,1206.63,19,0.8,987.58
TXN100072,CUST1564,MERCH128,2291.16,INR,UPI,10,Wednesday,Bank Server Unavailable,Temporary,30,15,15,0.5,87,1,True,Retry,0,1,2185.75,7,0.43,985.2
TXN100073,CUST1897,MERCH120,3147.61,INR,UPI,2,Friday,Gateway Timeout,Temporary,29,24,5,0.828,14,0,True,Retry After Delay,5,1,3013.67,15,0.85,2675.47
TXN100074,CUST2363,MERCH147,2838.91,INR,Credit Card,15,Tuesday,Payment Declined,Customer Related,35,17,18,0.486,83,0,False,Stop Recovery,0,0,0.0,0,0.2,567.78
TXN100075,CUST1091,MERCH144,1272.7,INR,UPI,21,Thursday,Incorrect Payment Details,Customer Related,38,35,3,0.921,9,0,True,Send Payment Reminder,120,0,0.0,0,0.55,699.99
TXN100076,CUST2390,MERCH144,491.17,INR,UPI,9,Sunday,Network Timeout,Temporary,26,15,11,0.577,69,0,True,Retry,0,0,0.0,0,0.5,245.58
TXN100077,CUST1955,MERCH148,602.36,INR,Debit Card,1,Thursday,Network Timeout,Temporary,20,17,3,0.85,39,0,True,Retry After Delay,15,1,575.04,22,0.85,512.01
TXN100078,CUST2478,MERCH126,1665.88,INR,Credit Card,18,Sunday,Authentication Failure,Technical,36,26,10,0.722,45,0,True,Escalate,0,0,0.0,0,0.45,749.65
TXN100079,CUST2451,MERCH138,1761.25,INR,UPI,3,Saturday,Incorrect Payment Details,Customer Related,43,41,2,0.953,61,3,False,Stop Recovery,0,0,0.0,0,0.29,510.76
TXN100080,CUST1508,MERCH139,556.16,INR,UPI,15,Tuesday,Authentication Failure,Technical,40,34,6,0.85,50,2,True,Escalate,0,0,0.0,0,0.46,255.83
TXN100081,CUST1775,MERCH112,1388.05,INR,UPI,5,Monday,Payment Declined,Customer Related,18,14,4,0.778,40,1,True,Send Payment Reminder,120,0,0.0,0,0.33,458.06
TXN100082,CUST2966,MERCH122,2219.37,INR,Debit Card,10,Thursday,Incorrect Payment Details,Customer Related,22,18,4,0.818,28,2,True,Send Payment Reminder,30,0,0.0,0,0.41,909.94
TXN100083,CUST1034,MERCH115,533.27,INR,Net Banking,16,Friday,Insufficient Balance,Customer Related,13,8,5,0.615,36,1,True,Send Payment Reminder,60,0,0.0,0,0.33,175.98
TXN100084,CUST1205,MERCH129,3242.17,INR,Debit Card,14,Monday,Payment Declined,Customer Related,15,7,8,0.467,10,0,False,Stop Recovery,0,0,0.0,0,0.25,810.54
TXN100085,CUST2104,MERCH103,990.27,INR,UPI,21,Saturday,Authentication Failure,Technical,16,16,0,1.0,61,1,True,Escalate,0,1,966.56,5,0.48,475.33
TXN100086,CUST2955,MERCH139,3663.19,INR,Debit Card,3,Wednesday,Bank Server Unavailable,Temporary,25,13,12,0.52,68,0,True,Retry,0,1,3577.28,14,0.5,1831.6
TXN100087,CUST2585,MERCH115,874.14,INR,UPI,23,Friday,Insufficient Balance,Customer Related,3,3,0,1.0,37,1,True,Send Payment Reminder,30,0,0.0,0,0.48,419.59
TXN100088,CUST2895,MERCH130,589.16,INR,UPI,7,Saturday,Incorrect Payment Details,Customer Related,5,3,2,0.6,24,0,True,Send Payment Reminder,60,1,573.26,68,0.4,235.66
TXN100089,CUST2411,MERCH141,928.43,INR,UPI,23,Sunday,Insufficient Balance,Customer Related,27,21,6,0.778,34,2,False,Stop Recovery,0,0,0.0,0,0.26,241.39
TXN100090,CUST2025,MERCH124,1241.26,INR,Debit Card,17,Saturday,Payment Declined,Customer Related,39,29,10,0.744,1,1,True,Send Payment Reminder,60,0,0.0,0,0.33,409.62
TXN100091,CUST2021,MERCH143,981.63,INR,Credit Card,13,Saturday,Gateway Timeout,Temporary,33,17,16,0.515,21,0,True,Retry,0,1,954.68,12,0.55,539.9
TXN100092,CUST2413,MERCH111,1126.87,INR,Credit Card,1,Tuesday,Network Timeout,Temporary,40,35,5,0.875,71,2,True,Retry,0,0,0.0,0,0.66,743.73
TXN100093,CUST1565,MERCH125,1749.65,INR,Debit Card,15,Monday,Network Timeout,Temporary,38,21,17,0.553,44,2,True,Retry,0,1,1712.95,9,0.41,717.36
TXN100094,CUST2129,MERCH136,1168.01,INR,UPI,21,Saturday,Processing Error,Technical,4,2,2,0.5,40,2,False,Stop Recovery,0,0,0.0,0,0.16,186.88
TXN100095,CUST2795,MERCH147,1270.43,INR,UPI,14,Saturday,Processing Error,Technical,43,33,10,0.767,79,1,True,Escalate,0,0,0.0,0,0.33,419.24
TXN100096,CUST2845,MERCH132,341.25,INR,Credit Card,20,Saturday,Bank Server Unavailable,Temporary,38,38,0,1.0,78,1,True,Retry After Delay,30,1,335.49,44,0.73,249.11
TXN100097,CUST2500,MERCH127,1832.36,INR,Credit Card,5,Friday,Network Timeout,Temporary,50,48,2,0.96,52,0,True,Retry After Delay,15,1,1829.04,20,0.85,1557.51
TXN100098,CUST1702,MERCH108,1247.18,INR,Debit Card,8,Saturday,Network Timeout,Temporary,2,2,0,1.0,1,0,True,Retry After Delay,5,1,1218.81,6,0.85,1060.1
TXN100099,CUST1401,MERCH111,4857.28,INR,UPI,11,Thursday,Bank Server Unavailable,Temporary,19,11,8,0.579,53,0,True,Retry,0,1,4678.94,15,0.55,2671.5
TXN100100,CUST1729,MERCH104,631.66,INR,Debit Card,9,Tuesday,Gateway Timeout,Temporary,18,9,9,0.5,67,0,True,Retry,0,0,0.0,0,0.5,315.83
TXN100101,CUST2579,MERCH127,315.25,INR,UPI,6,Monday,Bank Server Unavailable,Temporary,11,8,3,0.727,33,0,True,Retry After Delay,5,1,314.85,9,0.7,220.68
TXN100102,CUST1161,MERCH134,2196.14,INR,Debit Card,4,Thursday,Authentication Failure,Technical,35,34,1,0.971,11,1,True,Escalate,0,0,0.0,0,0.53,1163.95
TXN100103,CUST1201,MERCH104,1767.32,INR,Credit Card,22,Saturday,Incorrect Payment Details,Customer Related,11,5,6,0.455,87,0,False,Stop Recovery,0,0,0.0,0,0.2,353.46
TXN100104,CUST2981,MERCH133,597.8,INR,Wallet,7,Sunday,Network Timeout,Temporary,33,29,4,0.879,41,0,True,Retry After Delay,30,0,0.0,0,0.85,508.13
TXN100105,CUST1995,MERCH145,393.94,INR,UPI,11,Tuesday,Payment Declined,Customer Related,2,2,0,1.0,89,1,True,Send Payment Reminder,30,0,0.0,0,0.43,169.39
TXN100106,CUST1269,MERCH133,4582.12,INR,Debit Card,0,Tuesday,Insufficient Balance,Customer Related,1,1,0,1.0,68,0,True,Send Payment Reminder,30,1,4377.24,38,0.5,2291.06
TXN100107,CUST2886,MERCH112,4151.76,INR,Credit Card,9,Monday,Network Timeout,Temporary,33,31,2,0.939,49,0,True,Retry After Delay,30,1,4009.08,40,0.85,3529.0
TXN100108,CUST1815,MERCH138,183.1,INR,UPI,10,Monday,Incorrect Payment Details,Customer Related,13,13,0,1.0,60,0,True,Send Payment Reminder,60,0,0.0,0,0.55,100.7
TXN100109,CUST2294,MERCH141,928.36,INR,UPI,22,Monday,Network Timeout,Temporary,27,20,7,0.741,46,0,True,Retry After Delay,15,0,0.0,0,0.7,649.85
TXN100110,CUST1455,MERCH144,5071.31,INR,Debit Card,19,Friday,Bank Server Unavailable,Temporary,1,1,0,1.0,84,3,True,Retry,0,0,0.0,0,0.59,2992.07
TXN100111,CUST2485,MERCH147,915.21,INR,UPI,4,Sunday,Network Timeout,Temporary,42,30,12,0.714,16,1,True,Retry,0,1,910.74,7,0.63,576.58
TXN100112,CUST2750,MERCH113,904.62,INR,UPI,12,Tuesday,Processing Error,Technical,29,23,6,0.793,84,0,True,Escalate,0,1,902.08,10,0.4,361.85
TXN100113,CUST2275,MERCH110,1068.27,INR,Wallet,17,Saturday,Payment Declined,Customer Related,45,37,8,0.822,34,0,True,Send Payment Reminder,60,1,1049.31,69,0.55,587.55
TXN100114,CUST2016,MERCH141,546.36,INR,Debit Card,9,Wednesday,Insufficient Balance,Customer Related,40,26,14,0.65,24,0,True,Send Payment Reminder,60,0,0.0,0,0.4,218.54
TXN100115,CUST2725,MERCH137,342.47,INR,UPI,20,Thursday,Authentication Failure,Technical,22,16,6,0.727,8,1,True,Escalate,0,1,325.6,2,0.38,130.14
TXN100116,CUST1295,MERCH103,3108.94,INR,Credit Card,16,Monday,Bank Server Unavailable,Temporary,39,22,17,0.564,68,3,False,Stop Recovery,0,0,0.0,0,0.29,901.59
TXN100117,CUST2748,MERCH132,306.63,INR,Credit Card,18,Tuesday,Processing Error,Technical,20,12,8,0.6,30,0,True,Escalate,0,1,298.08,3,0.45,137.98
TXN100118,CUST1719,MERCH106,1632.42,INR,Net Banking,3,Sunday,Payment Declined,Customer Related,44,32,12,0.727,53,1,True,Send Payment Reminder,60,0,0.0,0,0.33,538.7
TXN100119,CUST2772,MERCH140,2722.38,INR,Debit Card,8,Saturday,Payment Declined,Customer Related,40,29,11,0.725,53,0,True,Send Payment Reminder,30,1,2713.23,38,0.4,1088.95
TXN100120,CUST1337,MERCH107,419.48,INR,Net Banking,17,Thursday,Authentication Failure,Technical,45,35,10,0.778,65,1,True,Escalate,0,0,0.0,0,0.33,138.43
TXN100121,CUST1878,MERCH136,639.44,INR,UPI,15,Wednesday,Payment Declined,Customer Related,2,1,1,0.5,27,0,False,Stop Recovery,0,0,0.0,0,0.25,159.86
TXN100122,CUST2076,MERCH109,3535.26,INR,Credit Card,6,Thursday,Processing Error,Technical,41,21,20,0.512,13,0,True,Escalate,0,0,0.0,0,0.3,1060.58
TXN100123,CUST1791,MERCH142,2051.47,INR,UPI,11,Wednesday,Authentication Failure,Technical,17,9,8,0.529,86,0,False,Stop Recovery,0,0,0.0,0,0.25,512.87
TXN100124,CUST2945,MERCH114,817.44,INR,UPI,3,Saturday,Bank Server Unavailable,Temporary,50,48,2,0.96,7,0,True,Retry After Delay,10,1,812.93,17,0.85,694.82
TXN100125,CUST1216,MERCH137,3504.49,INR,Debit Card,20,Monday,Bank Server Unavailable,Temporary,48,26,22,0.542,80,1,True,Retry,0,0,0.0,0,0.43,1506.93
TXN100126,CUST1763,MERCH114,3516.53,INR,UPI,11,Friday,Network Timeout,Temporary,41,30,11,0.732,27,2,True,Retry,0,1,3497.85,14,0.56,1969.26
TXN100127,CUST1187,MERCH104,1661.11,INR,Credit Card,11,Wednesday,Bank Server Unavailable,Temporary,5,3,2,0.6,36,0,True,Retry After Delay,30,1,1602.46,42,0.7,1162.78
TXN100128,CUST1379,MERCH128,651.89,INR,Net Banking,3,Monday,Gateway Timeout,Temporary,48,47,1,0.979,67,0,True,Retry After Delay,5,1,646.18,18,0.8,521.51
TXN100129,CUST1492,MERCH118,962.22,INR,UPI,11,Thursday,Network Timeout,Temporary,26,15,11,0.577,56,0,True,Retry,0,0,0.0,0,0.55,529.22
TXN100130,CUST2064,MERCH109,1684.31,INR,UPI,22,Saturday,Gateway Timeout,Temporary,13,6,7,0.462,82,0,True,Retry,0,1,1656.71,12,0.5,842.16
TXN100131,CUST2180,MERCH111,1151.85,INR,Debit Card,7,Sunday,Incorrect Payment Details,Customer Related,34,22,12,0.647,14,1,True,Send Payment Reminder,30,0,0.0,0,0.33,380.11
TXN100132,CUST1014,MERCH103,2838.88,INR,Wallet,23,Thursday,Authentication Failure,Technical,30,20,10,0.667,1,0,True,Escalate,0,0,0.0,0,0.45,1277.5
TXN100133,CUST2836,MERCH130,393.93,INR,Debit Card,2,Thursday,Network Timeout,Temporary,44,29,15,0.659,39,1,True,Retry,0,1,391.84,7,0.63,248.18
TXN100134,CUST1064,MERCH117,405.28,INR,Credit Card,15,Saturday,Network Timeout,Temporary,41,22,19,0.537,19,1,True,Retry,0,1,397.94,14,0.48,194.53
TXN100135,CUST2880,MERCH115,1547.97,INR,UPI,1,Saturday,Network Timeout,Temporary,2,1,1,0.5,67,0,True,Retry,0,0,0.0,0,0.5,773.98
TXN100136,CUST2862,MERCH139,903.94,INR,UPI,5,Friday,Processing Error,Technical,12,6,6,0.5,86,1,False,Stop Recovery,0,0,0.0,0,0.18,162.71
TXN100137,CUST1520,MERCH135,811.08,INR,Debit Card,16,Tuesday,Insufficient Balance,Customer Related,22,16,6,0.727,47,2,False,Stop Recovery,0,0,0.0,0,0.26,210.88
TXN100138,CUST2367,MERCH124,325.56,INR,UPI,11,Wednesday,Processing Error,Technical,38,35,3,0.921,51,0,True,Escalate,0,0,0.0,0,0.6,195.34
TXN100139,CUST2152,MERCH122,1360.54,INR,Net Banking,8,Sunday,Processing Error,Technical,13,11,2,0.846,65,1,True,Escalate,0,0,0.0,0,0.48,653.06
TXN100140,CUST1647,MERCH111,1284.08,INR,Credit Card,15,Saturday,Processing Error,Technical,48,26,22,0.542,7,1,False,Stop Recovery,0,0,0.0,0,0.23,295.34
TXN100141,CUST2495,MERCH133,2259.24,INR,Credit Card,6,Tuesday,Network Timeout,Temporary,25,15,10,0.6,47,1,True,Retry,0,1,2188.66,9,0.63,1423.32
TXN100142,CUST2086,MERCH135,1415.34,INR,Debit Card,7,Thursday,Insufficient Balance,Customer Related,40,22,18,0.55,7,0,False,Stop Recovery,0,0,0.0,0,0.25,353.84
TXN100143,CUST2162,MERCH136,1204.62,INR,Debit Card,6,Sunday,Processing Error,Technical,39,33,6,0.846,73,2,True,Escalate,0,1,1182.6,15,0.41,493.89
TXN100144,CUST2522,MERCH102,3434.41,INR,Credit Card,20,Friday,Network Timeout,Temporary,47,45,2,0.957,58,0,True,Retry After Delay,30,0,0.0,0,0.85,2919.25
TXN100145,CUST1592,MERCH108,468.73,INR,Wallet,4,Monday,Payment Declined,Customer Related,37,28,9,0.757,56,0,True,Send Payment Reminder,30,1,453.68,37,0.4,187.49
TXN100146,CUST1391,MERCH117,2057.22,INR,Wallet,22,Friday,Gateway Timeout,Temporary,21,11,10,0.524,80,1,True,Retry,0,0,0.0,0,0.43,884.6
