transaction_id,recovery_probability,expected_recovery,priority,action,reason,retry_delay_minutes,amount,failure_reason,failure_category,retry_count,recovery_success,recovered_amount,recovery_attempted,recovery_success_simulated,simulated_recovered_amount
TXN100014,0.219,132.73,VERY LOW,Stop Recovery,Low recovery potential for customer-related failure,0,606.38,Incorrect Payment Details,Customer Related,1,0,0.0,False,0,0.0
TXN100015,0.452,460.01,VERY LOW,Retry After Delay,Delayed retry may resolve the technical issue,15,1017.85,Processing Error,Technical,1,1,1010.44,True,1,1017.85
TXN100016,0.617,1517.75,LOW,Send Payment Reminder,Customer action may be required,60,2458.2,Payment Declined,Customer Related,0,1,2363.11,True,1,2458.2
TXN100017,0.558,1069.27,LOW,Send Payment Reminder,Customer action may be required,60,1916.9,Insufficient Balance,Customer Related,0,1,1832.95,True,0,0.0
TXN100018,0.407,1857.4,LOW,Send Payment Reminder,Customer action may be required,60,4563.77,Payment Declined,Customer Related,0,0,0.0,True,0,0.0
TXN100019,0.841,1576.52,LOW,Retry After Delay,Temporary failure with high recovery probability,10,1875.12,Bank Server Unavailable,Temporary,0,1,1840.3,True,1,1875.12
TXN100020,0.285,1672.42,LOW,Stop Recovery,Low recovery potential for customer-related failure,0,5875.15,Insufficient Balance,Customer Related,0,0,0.0,False,0,0.0
TXN100021,0.844,1741.47,LOW,Retry After Delay,Temporary failure with high recovery probability,10,2063.2,Gateway Timeout,Temporary,0,1,2029.77,True,1,2063.2
TXN100022,0.672,2104.17,LOW,Retry,Temporary failure with moderate recovery probability,0,3132.96,Bank Server Unavailable,Temporary,0,1,3087.68,True,0,0.0
TXN100023,0.02,20.37,VERY LOW,Stop Recovery,Recovery probability is too low,0,1034.0,Payment Declined,Customer Related,0,0,0.0,False,0,0.0
TXN100024,0.572,774.64,LOW,Send Payment Reminder,Customer action may be required,60,1354.83,Payment Declined,Customer Related,0,0,0.0,True,0,0.0
TXN100025,0.483,1341.38,LOW,Send Payment Reminder,Customer action may be required,60,2775.97,Incorrect Payment Details,Customer Related,1,0,0.0,True,1,2775.97
TXN100026,0.463,2255.21,LOW,Retry After Delay,Delayed retry may resolve the technical issue,15,4867.73,Processing Error,Technical,1,1,4830.14,True,1,4867.73
TXN100027,0.468,1123.06,LOW,Stop Recovery,Maximum retry limit reached,0,2400.4,Bank Server Unavailable,Temporary,2,0,0.0,False,0,0.0
TXN100028,0.599,750.98,LOW,Send Payment Reminder,Customer action may be required,60,1253.21,Incorrect Payment Details,Customer Related,0,0,0.0,True,1,1253.21
TXN100029,0.403,1623.91,LOW,Send Payment Reminder,Customer action may be required,60,4031.4,Insufficient Balance,Customer Related,1,0,0.0,True,1,4031.4
TXN100030,0.013,3.03,VERY LOW,Stop Recovery,Recovery probability is too low,0,231.93,Payment Declined,Customer Related,1,0,0.0,False,0,0.0
TXN100031,0.082,35.33,VERY LOW,Stop Recovery,Recovery probability is too low,0,429.32,Authentication Failure,Technical,1,0,0.0,False,0,0.0
TXN100032,0.799,1846.34,LOW,Retry After Delay,Temporary failure with high recovery probability,10,2310.7,Bank Server Unavailable,Temporary,0,0,0.0,True,1,2310.7
TXN100033,0.36,488.25,VERY LOW,Stop Recovery,Low recovery potential for customer-related failure,0,1354.63,Payment Declined,Customer Related,1,0,0.0,False,0,0.0
TXN100034,0.577,1255.49,LOW,Send Payment Reminder,Customer action may be required,60,2174.19,Insufficient Balance,Customer Related,0,1,2126.0,True,1,2174.19
TXN100035,0.686,967.36,LOW,Retry,Technical failure with high recovery potential,0,1410.26,Authentication Failure,Technical,0,0,0.0,True,1,1410.26
TXN100036,0.398,841.39,LOW,Stop Recovery,Low recovery potential for customer-related failure,0,2114.89,Payment Declined,Customer Related,0,0,0.0,False,0,0.0
TXN100037,0.479,334.62,VERY LOW,Send Payment Reminder,Customer action may be required,60,698.18,Incorrect Payment Details,Customer Related,0,1,673.18,True,0,0.0
TXN100038,0.764,1616.22,LOW,Retry After Delay,Temporary failure with high recovery probability,10,2114.11,Gateway Timeout,Temporary,1,0,0.0,True,1,2114.11
TXN100039,0.437,1295.96,LOW,Send Payment Reminder,Customer action may be required,60,2967.67,Incorrect Payment Details,Customer Related,1,1,2946.46,True,1,2967.67
TXN100040,0.017,60.86,VERY LOW,Stop Recovery,Recovery probability is too low,0,3556.17,Payment Declined,Customer Related,1,0,0.0,False,0,0.0
TXN100041,0.017,114.29,VERY LOW,Stop Recovery,Recovery probability is too low,0,6706.57,Insufficient Balance,Customer Related,0,0,0.0,False,0,0.0
TXN100042,0.475,773.2,LOW,Send Payment Reminder,Customer action may be required,60,1628.28,Insufficient Balance,Customer Related,1,0,0.0,True,1,1628.28
TXN100043,0.837,1395.99,LOW,Retry After Delay,Temporary failure with high recovery probability,10,1667.58,Gateway Timeout,Temporary,0,1,1620.34,True,1,1667.58
TXN100044,0.844,334.43,VERY LOW,Retry After Delay,Temporary failure with high recovery probability,10,396.02,Network Timeout,Temporary,0,1,384.82,True,1,396.02
TXN100045,0.513,449.26,VERY LOW,Retry,Temporary failure with moderate recovery probability,0,875.57,Bank Server Unavailable,Temporary,1,1,853.35,True,1,875.57
TXN100046,0.384,440.95,VERY LOW,Send Payment Reminder,Temporary failure with limited recovery probability,30,1147.72,Network Timeout,Temporary,1,1,1138.28,True,0,0.0
TXN100047,0.42,1304.7,LOW,Retry After Delay,Delayed retry may resolve the technical issue,15,3103.41,Authentication Failure,Technical,1,0,0.0,True,0,0.0
TXN100048,0.31,255.06,VERY LOW,Escalate,Low recovery probability requires investigation,0,821.56,Processing Error,Technical,0,0,0.0,True,1,821.56
TXN100049,0.405,1025.24,LOW,Stop Recovery,Maximum retry limit reached,0,2532.78,Authentication Failure,Technical,2,0,0.0,False,0,0.0
TXN100050,0.479,640.66,LOW,Stop Recovery,Maximum retry limit reached,0,1337.69,Authentication Failure,Technical,2,1,1335.74,False,0,0.0
TXN100051,0.592,688.37,LOW,Retry,Temporary failure with moderate recovery probability,0,1162.43,Bank Server Unavailable,Temporary,0,0,0.0,True,0,0.0
TXN100052,0.205,334.45,VERY LOW,Stop Recovery,Maximum retry limit reached,0,1634.54,Insufficient Balance,Customer Related,3,0,0.0,False,0,0.0
TXN100053,0.382,374.08,VERY LOW,Escalate,Low recovery probability requires investigation,0,979.53,Processing Error,Technical,0,0,0.0,True,1,979.53
TXN100054,0.607,577.2,LOW,Send Payment Reminder,Customer action may be required,60,950.29,Incorrect Payment Details,Customer Related,0,1,910.91,True,1,950.29
TXN100055,0.299,102.52,VERY LOW,Stop Recovery,Maximum retry limit reached,0,342.47,Network Timeout,Temporary,2,0,0.0,False,0,0.0
TXN100056,0.517,568.05,LOW,Send Payment Reminder,Customer action may be required,60,1098.43,Insufficient Balance,Customer Related,0,1,1050.22,True,0,0.0
TXN100057,0.676,616.74,LOW,Retry,Temporary failure with moderate recovery probability,0,912.35,Network Timeout,Temporary,0,0,0.0,True,0,0.0
TXN100058,0.554,491.21,VERY LOW,Retry,Temporary failure with moderate recovery probability,0,886.44,Gateway Timeout,Temporary,0,0,0.0,True,0,0.0
TXN100059,0.032,59.38,VERY LOW,Stop Recovery,Recovery probability is too low,0,1869.63,Insufficient Balance,Customer Related,0,0,0.0,False,0,0.0
TXN100060,0.481,1090.38,LOW,Retry After Delay,Delayed retry may resolve the technical issue,15,2268.57,Processing Error,Technical,0,1,2187.79,True,1,2268.57
TXN100061,0.433,697.83,LOW,Send Payment Reminder,Customer action may be required,60,1612.85,Payment Declined,Customer Related,1,0,0.0,True,1,1612.85
TXN100062,0.349,1037.38,LOW,Stop Recovery,Low recovery potential for customer-related failure,0,2970.04,Insufficient Balance,Customer Related,0,1,2955.82,False,0,0.0
TXN100063,0.387,821.5,LOW,Stop Recovery,Low recovery potential for customer-related failure,0,2122.71,Insufficient Balance,Customer Related,0,0,0.0,False,0,0.0
TXN100064,0.127,134.58,VERY LOW,Stop Recovery,Recovery probability is too low,0,1057.81,Authentication Failure,Technical,0,0,0.0,False,0,0.0
TXN100065,0.742,686.62,LOW,Retry After Delay,Temporary failure with high recovery probability,10,924.93,Gateway Timeout,Temporary,1,1,903.11,True,1,924.93
TXN100066,0.399,686.14,LOW,Stop Recovery,Low recovery potential for customer-related failure,0,1720.31,Payment Declined,Customer Related,1,0,0.0,False,0,0.0
TXN100067,0.7,1483.35,LOW,Stop Recovery,Maximum retry limit reached,0,2119.67,Gateway Timeout,Temporary,2,1,2014.29,False,0,0.0
TXN100068,0.017,69.52,VERY LOW,Stop Recovery,Recovery probability is too low,0,4098.09,Insufficient Balance,Customer Related,0,0,0.0,False,0,0.0
TXN100069,0.846,2938.47,MEDIUM,Retry After Delay,Temporary failure with high recovery probability,10,3473.57,Network Timeout,Temporary,0,1,3400.96,True,1,3473.57
TXN100070,0.5,434.02,VERY LOW,Retry After Delay,Delayed retry may resolve the technical issue,15,868.55,Authentication Failure,Technical,1,0,0.0,True,1,868.55
TXN100071,0.8,987.3,LOW,Retry After Delay,Temporary failure with high recovery probability,10,1234.47,Network Timeout,Temporary,0,1,1206.63,True,1,1234.47
TXN100072,0.391,896.05,LOW,Send Payment Reminder,Temporary failure with limited recovery probability,30,2291.16,Bank Server Unavailable,Temporary,1,1,2185.75,True,1,2291.16
TXN100073,0.874,2751.05,MEDIUM,Retry After Delay,Temporary failure with high recovery probability,10,3147.61,Gateway Timeout,Temporary,0,1,3013.67,True,1,3147.61
TXN100074,0.019,55.34,VERY LOW,Stop Recovery,Recovery probability is too low,0,2838.91,Payment Declined,Customer Related,0,0,0.0,False,0,0.0
TXN100075,0.607,772.11,LOW,Send Payment Reminder,Customer action may be required,60,1272.7,Incorrect Payment Details,Customer Related,0,0,0.0,True,1,1272.7
TXN100076,0.519,254.92,VERY LOW,Retry,Temporary failure with moderate recovery probability,0,491.17,Network Timeout,Temporary,0,0,0.0,True,0,0.0
TXN100077,0.815,491.0,VERY LOW,Retry After Delay,Temporary failure with high recovery probability,10,602.36,Network Timeout,Temporary,0,1,575.04,True,1,602.36
TXN100078,0.439,730.6,LOW,Retry After Delay,Delayed retry may resolve the technical issue,15,1665.88,Authentication Failure,Technical,0,0,0.0,True,0,0.0
TXN100079,0.248,437.49,VERY LOW,Stop Recovery,Maximum retry limit reached,0,1761.25,Incorrect Payment Details,Customer Related,3,0,0.0,False,0,0.0
TXN100080,0.395,219.61,VERY LOW,Stop Recovery,Maximum retry limit reached,0,556.16,Authentication Failure,Technical,2,0,0.0,False,0,0.0
TXN100081,0.283,392.37,VERY LOW,Stop Recovery,Low recovery potential for customer-related failure,0,1388.05,Payment Declined,Customer Related,1,0,0.0,False,0,0.0
TXN100082,0.309,684.86,LOW,Stop Recovery,Maximum retry limit reached,0,2219.37,Incorrect Payment Details,Customer Related,2,0,0.0,False,0,0.0
TXN100083,0.236,125.95,VERY LOW,Stop Recovery,Low recovery potential for customer-related failure,0,533.27,Insufficient Balance,Customer Related,1,0,0.0,False,0,0.0
TXN100084,0.028,91.18,VERY LOW,Stop Recovery,Recovery probability is too low,0,3242.17,Payment Declined,Customer Related,0,0,0.0,False,0,0.0
TXN100085,0.508,502.97,LOW,Retry After Delay,Delayed retry may resolve the technical issue,15,990.27,Authentication Failure,Technical,1,1,966.56,True,0,0.0
TXN100086,0.608,2227.08,LOW,Retry,Temporary failure with moderate recovery probability,0,3663.19,Bank Server Unavailable,Temporary,0,1,3577.28,True,1,3663.19
TXN100087,0.412,360.3,VERY LOW,Send Payment Reminder,Customer action may be required,60,874.14,Insufficient Balance,Customer Related,1,0,0.0,True,0,0.0
TXN100088,0.453,267.0,VERY LOW,Send Payment Reminder,Customer action may be required,60,589.16,Incorrect Payment Details,Customer Related,0,1,573.26,True,0,0.0
TXN100089,0.102,94.58,VERY LOW,Stop Recovery,Maximum retry limit reached,0,928.43,Insufficient Balance,Customer Related,2,0,0.0,False,0,0.0
TXN100090,0.236,292.67,VERY LOW,Stop Recovery,Low recovery potential for customer-related failure,0,1241.26,Payment Declined,Customer Related,1,0,0.0,False,0,0.0
TXN100091,0.52,510.84,LOW,Retry,Temporary failure with moderate recovery probability,0,981.63,Gateway Timeout,Temporary,0,1,954.68,True,0,0.0
TXN100092,0.767,864.11,LOW,Stop Recovery,Maximum retry limit reached,0,1126.87,Network Timeout,Temporary,2,0,0.0,False,0,0.0
TXN100093,0.33,577.57,LOW,Stop Recovery,Maximum retry limit reached,0,1749.65,Network Timeout,Temporary,2,1,1712.95,False,0,0.0
TXN100094,0.096,112.07,VERY LOW,Stop Recovery,Maximum retry limit reached,0,1168.01,Processing Error,Technical,2,0,0.0,False,0,0.0
TXN100095,0.235,298.58,VERY LOW,Escalate,Low recovery probability requires investigation,0,1270.43,Processing Error,Technical,1,0,0.0,True,0,0.0
TXN100096,0.701,239.24,VERY LOW,Retry After Delay,Temporary failure with high recovery probability,10,341.25,Bank Server Unavailable,Temporary,1,1,335.49,True,1,341.25
TXN100097,0.832,1525.0,LOW,Retry After Delay,Temporary failure with high recovery probability,10,1832.36,Network Timeout,Temporary,0,1,1829.04,True,0,0.0
TXN100098,0.844,1052.82,LOW,Retry After Delay,Temporary failure with high recovery probability,10,1247.18,Network Timeout,Temporary,0,1,1218.81,True,1,1247.18
TXN100099,0.599,2911.81,MEDIUM,Retry,Temporary failure with moderate recovery probability,0,4857.28,Bank Server Unavailable,Temporary,0,1,4678.94,True,1,4857.28
TXN100100,0.507,320.44,VERY LOW,Retry,Temporary failure with moderate recovery probability,0,631.66,Gateway Timeout,Temporary,0,0,0.0,True,1,631.66
TXN100101,0.699,220.46,VERY LOW,Retry,Temporary failure with moderate recovery probability,0,315.25,Bank Server Unavailable,Temporary,0,1,314.85,True,1,315.25
TXN100102,0.518,1138.17,LOW,Retry After Delay,Delayed retry may resolve the technical issue,15,2196.14,Authentication Failure,Technical,1,0,0.0,True,1,2196.14
TXN100103,0.014,25.57,VERY LOW,Stop Recovery,Recovery probability is too low,0,1767.32,Incorrect Payment Details,Customer Related,0,0,0.0,False,0,0.0
TXN100104,0.844,504.63,LOW,Retry After Delay,Temporary failure with high recovery probability,10,597.8,Network Timeout,Temporary,0,0,0.0,True,1,597.8
TXN100105,0.367,144.48,VERY LOW,Stop Recovery,Low recovery potential for customer-related failure,0,393.94,Payment Declined,Customer Related,1,0,0.0,False,0,0.0
TXN100106,0.453,2077.16,LOW,Send Payment Reminder,Customer action may be required,60,4582.12,Insufficient Balance,Customer Related,0,1,4377.24,True,0,0.0
TXN100107,0.827,3434.37,MEDIUM,Retry After Delay,Temporary failure with high recovery probability,10,4151.76,Network Timeout,Temporary,0,1,4009.08,True,1,4151.76
TXN100108,0.559,102.43,VERY LOW,Send Payment Reminder,Customer action may be required,60,183.1,Incorrect Payment Details,Customer Related,0,0,0.0,True,1,183.1
TXN100109,0.64,593.84,LOW,Retry,Temporary failure with moderate recovery probability,0,928.36,Network Timeout,Temporary,0,0,0.0,True,1,928.36
TXN100110,0.363,1841.23,LOW,Stop Recovery,Maximum retry limit reached,0,5071.31,Bank Server Unavailable,Temporary,3,0,0.0,False,0,0.0
TXN100111,0.725,663.68,LOW,Retry After Delay,Temporary failure with high recovery probability,10,915.21,Network Timeout,Temporary,1,1,910.74,True,1,915.21
TXN100112,0.31,280.07,VERY LOW,Escalate,Low recovery probability requires investigation,0,904.62,Processing Error,Technical,0,1,902.08,True,0,0.0
TXN100113,0.619,661.52,LOW,Send Payment Reminder,Customer action may be required,60,1068.27,Payment Declined,Customer Related,0,1,1049.31,True,1,1068.27
TXN100114,0.473,258.39,VERY LOW,Send Payment Reminder,Customer action may be required,60,546.36,Insufficient Balance,Customer Related,0,0,0.0,True,0,0.0
TXN100115,0.382,130.97,VERY LOW,Escalate,Low recovery probability requires investigation,0,342.47,Authentication Failure,Technical,1,1,325.6,True,0,0.0
TXN100116,0.237,735.95,LOW,Stop Recovery,Maximum retry limit reached,0,3108.94,Bank Server Unavailable,Temporary,3,0,0.0,False,0,0.0
TXN100117,0.485,148.64,VERY LOW,Retry After Delay,Delayed retry may resolve the technical issue,15,306.63,Processing Error,Technical,0,1,298.08,True,1,306.63
TXN100118,0.279,455.84,VERY LOW,Stop Recovery,Low recovery potential for customer-related failure,0,1632.42,Payment Declined,Customer Related,1,0,0.0,False,0,0.0
TXN100119,0.42,1142.24,LOW,Send Payment Reminder,Customer action may be required,60,2722.38,Payment Declined,Customer Related,0,1,2713.23,True,1,2722.38
TXN100120,0.212,88.8,VERY LOW,Escalate,Low recovery probability requires investigation,0,419.48,Authentication Failure,Technical,1,0,0.0,True,0,0.0
TXN100121,0.022,14.18,VERY LOW,Stop Recovery,Recovery probability is too low,0,639.44,Payment Declined,Customer Related,0,0,0.0,False,0,0.0
TXN100122,0.174,616.1,LOW,Stop Recovery,Recovery probability is too low,0,3535.26,Processing Error,Technical,0,0,0.0,False,0,0.0
TXN100123,0.101,207.64,VERY LOW,Stop Recovery,Recovery probability is too low,0,2051.47,Authentication Failure,Technical,0,0,0.0,False,0,0.0
TXN100124,0.855,699.17,LOW,Retry After Delay,Temporary failure with high recovery probability,10,817.44,Bank Server Unavailable,Temporary,0,1,812.93,True,1,817.44
TXN100125,0.521,1827.44,LOW,Retry,Temporary failure with moderate recovery probability,0,3504.49,Bank Server Unavailable,Temporary,1,0,0.0,True,0,0.0
TXN100126,0.573,2014.38,LOW,Stop Recovery,Maximum retry limit reached,0,3516.53,Network Timeout,Temporary,2,1,3497.85,False,0,0.0
TXN100127,0.755,1253.83,LOW,Retry After Delay,Temporary failure with high recovery probability,10,1661.11,Bank Server Unavailable,Temporary,0,1,1602.46,True,1,1661.11
TXN100128,0.821,535.14,LOW,Retry After Delay,Temporary failure with high recovery probability,10,651.89,Gateway Timeout,Temporary,0,1,646.18,True,1,651.89
TXN100129,0.488,469.53,VERY LOW,Send Payment Reminder,Temporary failure with limited recovery probability,30,962.22,Network Timeout,Temporary,0,0,0.0,True,1,962.22
TXN100130,0.443,745.96,LOW,Send Payment Reminder,Temporary failure with limited recovery probability,30,1684.31,Gateway Timeout,Temporary,0,1,1656.71,True,1,1684.31
TXN100131,0.296,340.78,VERY LOW,Stop Recovery,Low recovery potential for customer-related failure,0,1151.85,Incorrect Payment Details,Customer Related,1,0,0.0,False,0,0.0
TXN100132,0.32,907.2,LOW,Escalate,Low recovery probability requires investigation,0,2838.88,Authentication Failure,Technical,0,0,0.0,True,0,0.0
TXN100133,0.689,271.37,VERY LOW,Retry,Temporary failure with moderate recovery probability,0,393.93,Network Timeout,Temporary,1,1,391.84,True,1,393.93
TXN100134,0.404,163.78,VERY LOW,Send Payment Reminder,Temporary failure with limited recovery probability,30,405.28,Network Timeout,Temporary,1,1,397.94,True,1,405.28
TXN100135,0.449,694.74,LOW,Send Payment Reminder,Temporary failure with limited recovery probability,30,1547.97,Network Timeout,Temporary,0,0,0.0,True,1,1547.97
TXN100136,0.065,59.19,VERY LOW,Stop Recovery,Recovery probability is too low,0,903.94,Processing Error,Technical,1,0,0.0,False,0,0.0
TXN100137,0.105,85.28,VERY LOW,Stop Recovery,Maximum retry limit reached,0,811.08,Insufficient Balance,Customer Related,2,0,0.0,False,0,0.0
TXN100138,0.629,204.91,VERY LOW,Retry After Delay,Delayed retry may resolve the technical issue,15,325.56,Processing Error,Technical,0,0,0.0,True,1,325.56
TXN100139,0.427,580.32,LOW,Retry After Delay,Delayed retry may resolve the technical issue,15,1360.54,Processing Error,Technical,1,0,0.0,True,1,1360.54
TXN100140,0.108,139.02,VERY LOW,Stop Recovery,Recovery probability is too low,0,1284.08,Processing Error,Technical,1,0,0.0,False,0,0.0
TXN100141,0.69,1558.82,LOW,Retry,Temporary failure with moderate recovery probability,0,2259.24,Network Timeout,Temporary,1,1,2188.66,True,0,0.0
TXN100142,0.023,33.0,VERY LOW,Stop Recovery,Recovery probability is too low,0,1415.34,Insufficient Balance,Customer Related,0,0,0.0,False,0,0.0
TXN100143,0.341,410.84,VERY LOW,Stop Recovery,Maximum retry limit reached,0,1204.62,Processing Error,Technical,2,1,1182.6,False,0,0.0
TXN100144,0.85,2920.19,MEDIUM,Retry After Delay,Temporary failure with high recovery probability,10,3434.41,Network Timeout,Temporary,0,0,0.0,True,1,3434.41
TXN100145,0.424,198.87,VERY LOW,Send Payment Reminder,Customer action may be required,60,468.73,Payment Declined,Customer Related,0,1,453.68,True,0,0.0
TXN100146,0.33,679.29,LOW,Send Payment Reminder,Temporary failure with limited recovery probability,30,2057.22,Gateway Timeout,Temporary,1,0,0.0,True,0,0.0
TXN100147,0.071,25.11,VERY LOW,Stop Recovery,Maximum retry limit reached,0,351.81,Insufficient Balance,Customer Related,2,0,0.0,False,0,0.0
TXN100148,0.25,170.97,VERY LOW,Stop Recovery,Maximum retry limit reached,0,684.93,Processing Error,Technical,2,1,650.77,False,0,0.0
TXN100149,0.11,56.0,VERY LOW,Stop Recovery,Maximum retry limit reached,0,507.69,Payment Declined,Customer Related,2,0,0.0,False,0,0.0
TXN100150,0.026,65.81,VERY LOW,Stop Recovery,Recovery probability is too low,0,2503.77,Incorrect Payment Details,Customer Related,0,0,0.0,False,0,0.0
TXN100151,0.026,33.42,VERY LOW,Stop Recovery,Recovery probability is too low,0,1271.14,Payment Declined,Customer Related,0,0,0.0,False,0,0.0
TXN100152,0.022,29.48,VERY LOW,Stop Recovery,Recovery probability is too low,0,1325.04,Insufficient Balance,Customer Related,0,0,0.0,False,0,0.0
TXN100153,0.691,381.86,VERY LOW,Retry,Technical failure with high recovery potential,0,552.59,Authentication Failure,Technical,0,0,0.0,True,1,552.59
TXN100154,0.244,257.56,VERY LOW,Escalate,Low recovery probability requires investigation,0,1053.89,Processing Error,Technical,1,0,0.0,True,0,0.0
TXN100155,0.462,336.09,VERY LOW,Retry After Delay,Delayed retry may resolve the technical issue,15,727.22,Processing Error,Technical,0,1,720.56,True,0,0.0
TXN100156,0.672,1222.68,LOW,Retry,Technical failure with high recovery potential,0,1820.31,Authentication Failure,Technical,0,1,1806.6,True,1,1820.31
TXN100157,0.198,120.05,VERY LOW,Stop Recovery,Recovery probability is too low,0,606.15,Insufficient Balance,Customer Related,1,0,0.0,False,0,0.0
TXN100158,0.541,2099.67,LOW,Retry,Temporary failure with moderate recovery probability,0,3880.95,Bank Server Unavailable,Temporary,0,0,0.0,True,0,0.0
TXN100159,0.577,202.16,VERY LOW,Retry,Temporary failure with moderate recovery probability,0,350.56,Network Timeout,Temporary,0,1,346.14,True,1,350.56
TXN100160,0.445,312.83,VERY LOW,Stop Recovery,Maximum retry limit reached,0,702.6,Bank Server Unavailable,Temporary,2,1,675.46,False,0,0.0
TXN100161,0.472,2417.65,LOW,Send Payment Reminder,Temporary failure with limited recovery probability,30,5124.36,Gateway Timeout,Temporary,1,0,0.0,True,0,0.0
TXN100162,0.741,701.14,LOW,Retry After Delay,Temporary failure with high recovery probability,10,945.67,Network Timeout,Temporary,1,0,0.0,True,1,945.67
TXN100163,0.535,250.48,VERY LOW,Retry,Temporary failure with moderate recovery probability,0,467.83,Bank Server Unavailable,Temporary,1,0,0.0,True,1,467.83
TXN100164,0.626,999.02,LOW,Retry,Temporary failure with moderate recovery probability,0,1596.0,Network Timeout,Temporary,0,0,0.0,True,1,1596.0
TXN100165,0.608,557.03,LOW,Send Payment Reminder,Customer action may be required,60,915.7,Insufficient Balance,Customer Related,0,0,0.0,True,1,915.7
TXN100166,0.663,454.76,VERY LOW,Retry,Temporary failure with moderate recovery probability,0,686.29,Network Timeout,Temporary,0,1,656.64,True,0,0.0
TXN100167,0.369,205.54,VERY LOW,Stop Recovery,Maximum retry limit reached,0,557.41,Incorrect Payment Details,Customer Related,2,1,534.28,False,0,0.0
TXN100168,0.379,4646.62,MEDIUM,Send Payment Reminder,Temporary failure with limited recovery probability,30,12267.38,Gateway Timeout,Temporary,0,0,0.0,True,1,12267.38
TXN100169,0.013,14.78,VERY LOW,Stop Recovery,Recovery probability is too low,0,1095.27,Payment Declined,Customer Related,1,0,0.0,False,0,0.0
TXN100170,0.184,52.95,VERY LOW,Stop Recovery,Recovery probability is too low,0,287.02,Processing Error,Technical,0,1,279.86,False,0,0.0
TXN100171,0.476,2108.25,LOW,Send Payment Reminder,Temporary failure with limited recovery probability,30,4424.74,Network Timeout,Temporary,1,1,4261.97,True,0,0.0
TXN100172,0.186,407.15,VERY LOW,Stop Recovery,Recovery probability is too low,0,2183.88,Processing Error,Technical,0,0,0.0,False,0,0.0
TXN100173,0.014,9.82,VERY LOW,Stop Recovery,Recovery probability is too low,0,725.48,Payment Declined,Customer Related,1,0,0.0,False,0,0.0
TXN100174,0.641,406.68,VERY LOW,Stop Recovery,Maximum retry limit reached,0,634.92,Network Timeout,Temporary,2,0,0.0,False,0,0.0
TXN100175,0.672,1541.55,LOW,Retry,Temporary failure with moderate recovery probability,0,2295.67,Gateway Timeout,Temporary,1,1,2281.7,True,0,0.0
TXN100176,0.428,470.27,VERY LOW,Retry After Delay,Delayed retry may resolve the technical issue,15,1099.34,Processing Error,Technical,1,1,1074.3,True,1,1099.34
TXN100177,0.028,7.98,VERY LOW,Stop Recovery,Recovery probability is too low,0,286.92,Payment Declined,Customer Related,0,0,0.0,False,0,0.0
TXN100178,0.858,4798.54,MEDIUM,Retry After Delay,Temporary failure with high recovery probability,10,5595.91,Gateway Timeout,Temporary,1,1,5442.07,True,1,5595.91
TXN100179,0.504,476.81,VERY LOW,Retry After Delay,Delayed retry may resolve the technical issue,15,946.53,Processing Error,Technical,0,1,940.45,True,0,0.0
