decision_timestamp,transaction_id,amount,payment_method,failure_reason,failure_category,retry_count,recovery_probability,expected_recovery,priority,action,reason,retry_delay_minutes,guardrail_triggered,recovery_attempted,outcome,recovered_amount
2026-08-25T23:41:59,TXN100063,2122.71,UPI,Insufficient Balance,Customer Related,0,0.387,821.5,LOW,Stop Recovery,Low recovery potential for customer-related failure,0,Low Customer Recovery Potential,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100064,1057.81,UPI,Authentication Failure,Technical,0,0.127,134.58,VERY LOW,Stop Recovery,Recovery probability is too low,0,Low Recovery Probability,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100065,924.93,Credit Card,Gateway Timeout,Temporary,1,0.742,686.62,LOW,Retry After Delay,Temporary failure with high recovery probability,10,None,True,Recovered,924.93
2026-08-25T23:41:59,TXN100066,1720.31,Debit Card,Payment Declined,Customer Related,1,0.399,686.14,LOW,Stop Recovery,Low recovery potential for customer-related failure,0,Low Customer Recovery Potential,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100067,2119.67,UPI,Gateway Timeout,Temporary,2,0.7,1483.35,LOW,Stop Recovery,Maximum retry limit reached,0,Maximum Retry Limit,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100068,4098.09,Debit Card,Insufficient Balance,Customer Related,0,0.017,69.52,VERY LOW,Stop Recovery,Recovery probability is too low,0,Low Recovery Probability,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100069,3473.57,Credit Card,Network Timeout,Temporary,0,0.846,2938.47,MEDIUM,Retry After Delay,Temporary failure with high recovery probability,10,None,True,Recovered,3473.57
2026-08-25T23:41:59,TXN100070,868.55,UPI,Authentication Failure,Technical,1,0.5,434.02,VERY LOW,Retry After Delay,Delayed retry may resolve the technical issue,15,None,True,Recovered,868.55
2026-08-25T23:41:59,TXN100071,1234.47,UPI,Network Timeout,Temporary,0,0.8,987.3,LOW,Retry After Delay,Temporary failure with high recovery probability,10,None,True,Recovered,1234.47
2026-08-25T23:41:59,TXN100072,2291.16,UPI,Bank Server Unavailable,Temporary,1,0.391,896.05,LOW,Send Payment Reminder,Temporary failure with limited recovery probability,30,None,True,Recovered,2291.16
2026-08-25T23:41:59,TXN100073,3147.61,UPI,Gateway Timeout,Temporary,0,0.874,2751.05,MEDIUM,Retry After Delay,Temporary failure with high recovery probability,10,None,True,Recovered,3147.61
2026-08-25T23:41:59,TXN100074,2838.91,Credit Card,Payment Declined,Customer Related,0,0.019,55.34,VERY LOW,Stop Recovery,Recovery probability is too low,0,Low Recovery Probability,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100075,1272.7,UPI,Incorrect Payment Details,Customer Related,0,0.607,772.11,LOW,Send Payment Reminder,Customer action may be required,60,None,True,Recovered,1272.7
2026-08-25T23:41:59,TXN100076,491.17,UPI,Network Timeout,Temporary,0,0.519,254.92,VERY LOW,Retry,Temporary failure with moderate recovery probability,0,None,True,Recovery Failed,0.0
2026-08-25T23:41:59,TXN100077,602.36,Debit Card,Network Timeout,Temporary,0,0.815,491.0,VERY LOW,Retry After Delay,Temporary failure with high recovery probability,10,None,True,Recovered,602.36
2026-08-25T23:41:59,TXN100078,1665.88,Credit Card,Authentication Failure,Technical,0,0.439,730.6,LOW,Retry After Delay,Delayed retry may resolve the technical issue,15,None,True,Recovery Failed,0.0
2026-08-25T23:41:59,TXN100079,1761.25,UPI,Incorrect Payment Details,Customer Related,3,0.248,437.49,VERY LOW,Stop Recovery,Maximum retry limit reached,0,Maximum Retry Limit,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100080,556.16,UPI,Authentication Failure,Technical,2,0.395,219.61,VERY LOW,Stop Recovery,Maximum retry limit reached,0,Maximum Retry Limit,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100081,1388.05,UPI,Payment Declined,Customer Related,1,0.283,392.37,VERY LOW,Stop Recovery,Low recovery potential for customer-related failure,0,Low Customer Recovery Potential,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100082,2219.37,Debit Card,Incorrect Payment Details,Customer Related,2,0.309,684.86,LOW,Stop Recovery,Maximum retry limit reached,0,Maximum Retry Limit,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100083,533.27,Net Banking,Insufficient Balance,Customer Related,1,0.236,125.95,VERY LOW,Stop Recovery,Low recovery potential for customer-related failure,0,Low Customer Recovery Potential,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100084,3242.17,Debit Card,Payment Declined,Customer Related,0,0.028,91.18,VERY LOW,Stop Recovery,Recovery probability is too low,0,Low Recovery Probability,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100085,990.27,UPI,Authentication Failure,Technical,1,0.508,502.97,LOW,Retry After Delay,Delayed retry may resolve the technical issue,15,None,True,Recovery Failed,0.0
2026-08-25T23:41:59,TXN100086,3663.19,Debit Card,Bank Server Unavailable,Temporary,0,0.608,2227.08,LOW,Retry,Temporary failure with moderate recovery probability,0,None,True,Recovered,3663.19
2026-08-25T23:41:59,TXN100087,874.14,UPI,Insufficient Balance,Customer Related,1,0.412,360.3,VERY LOW,Send Payment Reminder,Customer action may be required,60,None,True,Recovery Failed,0.0
2026-08-25T23:41:59,TXN100088,589.16,UPI,Incorrect Payment Details,Customer Related,0,0.453,267.0,VERY LOW,Send Payment Reminder,Customer action may be required,60,None,True,Recovery Failed,0.0
2026-08-25T23:41:59,TXN100089,928.43,UPI,Insufficient Balance,Customer Related,2,0.102,94.58,VERY LOW,Stop Recovery,Maximum retry limit reached,0,Maximum Retry Limit,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100090,1241.26,Debit Card,Payment Declined,Customer Related,1,0.236,292.67,VERY LOW,Stop Recovery,Low recovery potential for customer-related failure,0,Low Customer Recovery Potential,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100091,981.63,Credit Card,Gateway Timeout,Temporary,0,0.52,510.84,LOW,Retry,Temporary failure with moderate recovery probability,0,None,True,Recovery Failed,0.0
2026-08-25T23:41:59,TXN100092,1126.87,Credit Card,Network Timeout,Temporary,2,0.767,864.11,LOW,Stop Recovery,Maximum retry limit reached,0,Maximum Retry Limit,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100093,1749.65,Debit Card,Network Timeout,Temporary,2,0.33,577.57,LOW,Stop Recovery,Maximum retry limit reached,0,Maximum Retry Limit,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100094,1168.01,UPI,Processing Error,Technical,2,0.096,112.07,VERY LOW,Stop Recovery,Maximum retry limit reached,0,Maximum Retry Limit,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100095,1270.43,UPI,Processing Error,Technical,1,0.235,298.58,VERY LOW,Escalate,Low recovery probability requires investigation,0,None,True,Recovery Failed,0.0
2026-08-25T23:41:59,TXN100096,341.25,Credit Card,Bank Server Unavailable,Temporary,1,0.701,239.24,VERY LOW,Retry After Delay,Temporary failure with high recovery probability,10,None,True,Recovered,341.25
2026-08-25T23:41:59,TXN100097,1832.36,Credit Card,Network Timeout,Temporary,0,0.832,1525.0,LOW,Retry After Delay,Temporary failure with high recovery probability,10,None,True,Recovery Failed,0.0
2026-08-25T23:41:59,TXN100098,1247.18,Debit Card,Network Timeout,Temporary,0,0.844,1052.82,LOW,Retry After Delay,Temporary failure with high recovery probability,10,None,True,Recovered,1247.18
2026-08-25T23:41:59,TXN100099,4857.28,UPI,Bank Server Unavailable,Temporary,0,0.599,2911.81,MEDIUM,Retry,Temporary failure with moderate recovery probability,0,None,True,Recovered,4857.28
2026-08-25T23:41:59,TXN100100,631.66,Debit Card,Gateway Timeout,Temporary,0,0.507,320.44,VERY LOW,Retry,Temporary failure with moderate recovery probability,0,None,True,Recovered,631.66
2026-08-25T23:41:59,TXN100101,315.25,UPI,Bank Server Unavailable,Temporary,0,0.699,220.46,VERY LOW,Retry,Temporary failure with moderate recovery probability,0,None,True,Recovered,315.25
2026-08-25T23:41:59,TXN100102,2196.14,Debit Card,Authentication Failure,Technical,1,0.518,1138.17,LOW,Retry After Delay,Delayed retry may resolve the technical issue,15,None,True,Recovered,2196.14
2026-08-25T23:41:59,TXN100103,1767.32,Credit Card,Incorrect Payment Details,Customer Related,0,0.014,25.57,VERY LOW,Stop Recovery,Recovery probability is too low,0,Low Recovery Probability,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100104,597.8,Wallet,Network Timeout,Temporary,0,0.844,504.63,LOW,Retry After Delay,Temporary failure with high recovery probability,10,None,True,Recovered,597.8
2026-08-25T23:41:59,TXN100105,393.94,UPI,Payment Declined,Customer Related,1,0.367,144.48,VERY LOW,Stop Recovery,Low recovery potential for customer-related failure,0,Low Customer Recovery Potential,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100106,4582.12,Debit Card,Insufficient Balance,Customer Related,0,0.453,2077.16,LOW,Send Payment Reminder,Customer action may be required,60,None,True,Recovery Failed,0.0
2026-08-25T23:41:59,TXN100107,4151.76,Credit Card,Network Timeout,Temporary,0,0.827,3434.37,MEDIUM,Retry After Delay,Temporary failure with high recovery probability,10,None,True,Recovered,4151.76
2026-08-25T23:41:59,TXN100108,183.1,UPI,Incorrect Payment Details,Customer Related,0,0.559,102.43,VERY LOW,Send Payment Reminder,Customer action may be required,60,None,True,Recovered,183.1
2026-08-25T23:41:59,TXN100109,928.36,UPI,Network Timeout,Temporary,0,0.64,593.84,LOW,Retry,Temporary failure with moderate recovery probability,0,None,True,Recovered,928.36
2026-08-25T23:41:59,TXN100110,5071.31,Debit Card,Bank Server Unavailable,Temporary,3,0.363,1841.23,LOW,Stop Recovery,Maximum retry limit reached,0,Maximum Retry Limit,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100111,915.21,UPI,Network Timeout,Temporary,1,0.725,663.68,LOW,Retry After Delay,Temporary failure with high recovery probability,10,None,True,Recovered,915.21
2026-08-25T23:41:59,TXN100112,904.62,UPI,Processing Error,Technical,0,0.31,280.07,VERY LOW,Escalate,Low recovery probability requires investigation,0,None,True,Recovery Failed,0.0
2026-08-25T23:41:59,TXN100113,1068.27,Wallet,Payment Declined,Customer Related,0,0.619,661.52,LOW,Send Payment Reminder,Customer action may be required,60,None,True,Recovered,1068.27
2026-08-25T23:41:59,TXN100114,546.36,Debit Card,Insufficient Balance,Customer Related,0,0.473,258.39,VERY LOW,Send Payment Reminder,Customer action may be required,60,None,True,Recovery Failed,0.0
2026-08-25T23:41:59,TXN100115,342.47,UPI,Authentication Failure,Technical,1,0.382,130.97,VERY LOW,Escalate,Low recovery probability requires investigation,0,None,True,Recovery Failed,0.0
2026-08-25T23:41:59,TXN100116,3108.94,Credit Card,Bank Server Unavailable,Temporary,3,0.237,735.95,LOW,Stop Recovery,Maximum retry limit reached,0,Maximum Retry Limit,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100117,306.63,Credit Card,Processing Error,Technical,0,0.485,148.64,VERY LOW,Retry After Delay,Delayed retry may resolve the technical issue,15,None,True,Recovered,306.63
2026-08-25T23:41:59,TXN100118,1632.42,Net Banking,Payment Declined,Customer Related,1,0.279,455.84,VERY LOW,Stop Recovery,Low recovery potential for customer-related failure,0,Low Customer Recovery Potential,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100119,2722.38,Debit Card,Payment Declined,Customer Related,0,0.42,1142.24,LOW,Send Payment Reminder,Customer action may be required,60,None,True,Recovered,2722.38
2026-08-25T23:41:59,TXN100120,419.48,Net Banking,Authentication Failure,Technical,1,0.212,88.8,VERY LOW,Escalate,Low recovery probability requires investigation,0,None,True,Recovery Failed,0.0
2026-08-25T23:41:59,TXN100121,639.44,UPI,Payment Declined,Customer Related,0,0.022,14.18,VERY LOW,Stop Recovery,Recovery probability is too low,0,Low Recovery Probability,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100122,3535.26,Credit Card,Processing Error,Technical,0,0.174,616.1,LOW,Stop Recovery,Recovery probability is too low,0,Low Recovery Probability,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100123,2051.47,UPI,Authentication Failure,Technical,0,0.101,207.64,VERY LOW,Stop Recovery,Recovery probability is too low,0,Low Recovery Probability,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100124,817.44,UPI,Bank Server Unavailable,Temporary,0,0.855,699.17,LOW,Retry After Delay,Temporary failure with high recovery probability,10,None,True,Recovered,817.44
2026-08-25T23:41:59,TXN100125,3504.49,Debit Card,Bank Server Unavailable,Temporary,1,0.521,1827.44,LOW,Retry,Temporary failure with moderate recovery probability,0,None,True,Recovery Failed,0.0
2026-08-25T23:41:59,TXN100126,3516.53,UPI,Network Timeout,Temporary,2,0.573,2014.38,LOW,Stop Recovery,Maximum retry limit reached,0,Maximum Retry Limit,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100127,1661.11,Credit Card,Bank Server Unavailable,Temporary,0,0.755,1253.83,LOW,Retry After Delay,Temporary failure with high recovery probability,10,None,True,Recovered,1661.11
2026-08-25T23:41:59,TXN100128,651.89,Net Banking,Gateway Timeout,Temporary,0,0.821,535.14,LOW,Retry After Delay,Temporary failure with high recovery probability,10,None,True,Recovered,651.89
2026-08-25T23:41:59,TXN100129,962.22,UPI,Network Timeout,Temporary,0,0.488,469.53,VERY LOW,Send Payment Reminder,Temporary failure with limited recovery probability,30,None,True,Recovered,962.22
2026-08-25T23:41:59,TXN100130,1684.31,UPI,Gateway Timeout,Temporary,0,0.443,745.96,LOW,Send Payment Reminder,Temporary failure with limited recovery probability,30,None,True,Recovered,1684.31
2026-08-25T23:41:59,TXN100131,1151.85,Debit Card,Incorrect Payment Details,Customer Related,1,0.296,340.78,VERY LOW,Stop Recovery,Low recovery potential for customer-related failure,0,Low Customer Recovery Potential,False,Recovery Not Attempted,0.0
2026-08-25T23:41:59,TXN100132,2838.88,Wallet,Authentication Failure,Technical,0,0.32,907.2,LOW,Escalate,Low recovery probability requires investigation,0,None,True,Recovery Failed,0.0
2026-08-25T23:41:59,TXN100133,393.93,Debit Card,Network Timeout,Temporary,1,0.689,271.37,VERY LOW,Retry,Temporary failure with moderate recovery probability,0,None,True,Recovered,393.93
2026-08-25T23:41:59,TXN100134,405.28,Credit Card,Network Timeout,Temporary,1,0.404,163.78,VERY LOW,Send Payment Reminder,Temporary failure with limited recovery probability,30,None,True,Recovered,405.28
2026-08-25T23:41:59,TXN100135,1547.97,UPI,Network Timeout,Temporary,0,0.449,694.74,LOW,Send Payment Reminder,Temporary failure with limited recovery probability,30,None,True,Recovered,1547.97
2026-08-25T23:41:59,TXN100136,903.94,UPI,Processing Error,Technical,1,0.065,59.19,VERY LOW,Stop Recovery,Recovery probability is too low,0,Low Recovery Probability,False,Recovery Not Attempted,0.0
